"Pool","Freezer_RT","Specimen","amount_DNA","Total_mg_in_pool","Experiment","number_Reads","total_Reads"
"FT6","F","Homptera",0.777,15.478,"HFT6",2342,13782
"FT7","F","Homptera",1.941,14.958,"HFT7",3741,15438
"FT8","F","Homptera",0.417,13.781,"HFT8",2150,12144
"FT9","F","Homptera",1.095,17.63,"HFT9",3084,13333
"FT10","F","Homptera",1.471,15.933,"HFT10",2925,12148
"FT11","F","Homptera",0.514,15.679,"HFT11",1128,9902
"FT13","F","Homptera",0.524,17.188,"HFT13",0,0
"RT1","R","Homptera",0.31,13.364,"HRT1",1901,15769
"RT2","R","Homptera",0.362,18.39,"HRT2",1320,15630
"RT3","R","Homptera",0.621,17.242,"HRT3",1826,14301
"RT6","R","Homptera",0.784,14.653,"HRT6",1809,16786
"RT7","R","Homptera",2.347,18.503,"HRT7",3340,14534
"RT8","R","Homptera",1.019,16.23,"HRT8",3989,19174
"RT9","R","Homptera",0.559,9.801,"HRT9",2929,14845
"RT10","R","Homptera",2.162,13.587,"HRT10",4611,14762
"RT11","R","Homptera",0.293,13.343,"HRT11",1282,15301
"RT12","R","Homptera",0.554,13.78,"HRT12",2247,15301
"RT13","R","Homptera",0.258,13.7,"HRT13",1900,15921
"RT14","R","Homptera",1.114,11.191,"HRT14",5395,19388
"RT15","R","Homptera",0.836,11.521,"HRT15",3874,14482
"FT9","F","Ant",0.048,17.63,"HFT9",149,13333
"RT8","R","Ant",0.106,16.23,"HRT8",191,19174
"RT9","R","Ant",0.073,9.801,"HRT9",131,14845
"RT11","R","Ant",0.05,13.343,"HRT11",73,15301
"RT13","R","Ant",0.207,13.7,"HRT13",514,15921
"FT1","F","Ichneumonid",1.729,16.943,"HFT1",146,13671
"FT2","F","Ichneumonid",0.373,15.625,"HFT2",17,11178
"FT3","F","Ichneumonid",0.713,17.986,"HFT3",15,13396
"FT4","F","Ichneumonid",3.025,16.373,"HFT4",574,14369
"FT5","F","Ichneumonid",0.851,24.124,"HFT5",60,10349
"FT6","F","Ichneumonid",1.731,15.478,"HFT6",499,13782
"FT7","F","Ichneumonid",0.593,14.958,"HFT7",83,15438
"FT8","F","Ichneumonid",0.81,13.781,"HFT8",137,12144
"FT10","F","Ichneumonid",0.134,15.933,"HFT10",0,12148
"FT11","F","Ichneumonid",0.194,15.679,"HFT11",0,9902
"FT12","F","Ichneumonid",0.152,14.99,"HFT12",18,8536
"FT13","F","Ichneumonid",0.263,17.188,"HFT13",0,0
"RT1","R","Ichneumonid",0.84,13.364,"HRT1",156,15769
"RT2","R","Ichneumonid",0.69,18.39,"HRT2",198,15630
"RT3","R","Ichneumonid",0.768,17.242,"HRT3",50,14301
"RT4","R","Ichneumonid",0.594,14.079,"HRT4",17,6662
"RT5","R","Ichneumonid",2.323,17.5,"HRT5",309,13931
"RT6","R","Ichneumonid",0.403,14.653,"HRT6",22,16786
"RT7","R","Ichneumonid",0.378,18.503,"HRT7",30,14534
"RT10","R","Ichneumonid",0.138,13.587,"HRT10",9,14762
"RT12","R","Ichneumonid",0.151,13.78,"HRT12",31,15301
"RT14","R","Ichneumonid",0.161,11.191,"HRT14",0,19388
"RT15","R","Ichneumonid",0.216,11.521,"HRT15",14,14482
"FT1","F","Isopoda",0.215,16.943,"HFT1",0,13671
"FT2","F","Isopoda",0.28,15.625,"HFT2",60,11178
"FT3","F","Isopoda",2.639,17.986,"HFT3",218,13396
"FT4","F","Isopoda",0.395,16.373,"HFT4",0,14369
"FT5","F","Isopoda",3.017,24.124,"HFT5",63,10349
"FT6","F","Isopoda",2.268,15.478,"HFT6",208,13782
"FT7","F","Isopoda",1.798,14.958,"HFT7",98,15438
"FT8","F","Isopoda",2.174,13.781,"HFT8",214,12144
"FT9","F","Isopoda",2.301,17.63,"HFT9",320,13333
"FT10","F","Isopoda",1.393,15.933,"HFT10",108,12148
"FT11","F","Isopoda",2.155,15.679,"HFT11",148,9902
"FT12","F","Isopoda",0.551,14.99,"HFT12",96,8536
"FT13","F","Isopoda",2.198,17.188,"HFT13",0,0
"FT14","F","Isopoda",0.915,12.723,"HFT14",33,7833
"FT15","F","Isopoda",1.017,5.247,"HFT15",516,8153
"RT1","R","Isopoda",1.962,13.364,"HRT1",295,15769
"RT2","R","Isopoda",0.398,18.39,"HRT2",0,15630
"RT3","R","Isopoda",0.84,17.242,"HRT3",43,14301
"RT4","R","Isopoda",0.281,14.079,"HRT4",0,6662
"RT5","R","Isopoda",2.871,17.5,"HRT5",198,13931
"RT6","R","Isopoda",1.027,14.653,"HRT6",67,16786
"RT7","R","Isopoda",1.81,18.503,"HRT7",70,14534
"RT8","R","Isopoda",2.873,16.23,"HRT8",113,19174
"RT9","R","Isopoda",2.195,9.801,"HRT9",418,14845
"RT10","R","Isopoda",2.419,13.587,"HRT10",459,14762
"RT11","R","Isopoda",2.81,13.343,"HRT11",411,15301
"RT12","R","Isopoda",1.256,13.78,"HRT12",194,15301
"RT13","R","Isopoda",2.603,13.7,"HRT13",422,15921
"RT14","R","Isopoda",1.452,11.191,"HRT14",269,19388
"RT15","R","Isopoda",1.899,11.521,"HRT15",506,14482
"FT1","F","Lepidoptera",1.77,16.943,"HFT1",2420,13671
"FT2","F","Lepidoptera",1.712,15.625,"HFT2",2517,11178
"FT3","F","Lepidoptera",1.447,17.986,"HFT3",1553,13396
"FT4","F","Lepidoptera",0.762,16.373,"HFT4",2150,14369
"FT5","F","Lepidoptera",3.287,24.124,"HFT5",2327,10349
"FT6","F","Lepidoptera",0.649,15.478,"HFT6",2243,13782
"FT7","F","Lepidoptera",0.291,14.958,"HFT7",1655,15438
"FT8","F","Lepidoptera",1.492,13.781,"HFT8",2156,12144
"FT9","F","Lepidoptera",3.006,17.63,"HFT9",4545,13333
"FT11","F","Lepidoptera",3.773,15.679,"HFT11",3170,9902
"FT12","F","Lepidoptera",2.114,14.99,"HFT12",1602,8536
"FT13","F","Lepidoptera",1.166,17.188,"HFT13",0,0
"FT15","F","Lepidoptera",0.303,5.247,"HFT15",1678,8153
"RT1","R","Lepidoptera",1.037,13.364,"HRT1",3065,15769
"RT2","R","Lepidoptera",2.016,18.39,"HRT2",2737,15630
"RT3","R","Lepidoptera",2.184,17.242,"HRT3",3542,14301
"RT4","R","Lepidoptera",0.846,14.079,"HRT4",700,6662
"RT5","R","Lepidoptera",0.728,17.5,"HRT5",2124,13931
"RT6","R","Lepidoptera",0.189,14.653,"HRT6",924,16786
"RT7","R","Lepidoptera",1.777,18.503,"HRT7",3283,14534
"RT8","R","Lepidoptera",0.49,16.23,"HRT8",2685,19174
"RT9","R","Lepidoptera",0.638,9.801,"HRT9",2555,14845
"RT10","R","Lepidoptera",1.61,13.587,"HRT10",2653,14762
"RT11","R","Lepidoptera",1.175,13.343,"HRT11",3056,15301
"RT12","R","Lepidoptera",1.226,13.78,"HRT12",2289,15301
"RT14","R","Lepidoptera",1.42,11.191,"HRT14",4281,19388
"RT15","R","Lepidoptera",0.315,11.521,"HRT15",1570,14482
"FT1","F","Millipede",1.971,16.943,"HFT1",816,13671
"FT2","F","Millipede",2.576,15.625,"HFT2",849,11178
"FT3","F","Millipede",3.121,17.986,"HFT3",2115,13396
"FT4","F","Millipede",2.522,16.373,"HFT4",752,14369
"FT5","F","Millipede",1.309,24.124,"HFT5",237,10349
"FT6","F","Millipede",0.29,15.478,"HFT6",41,13782
"FT7","F","Millipede",0.687,14.958,"HFT7",157,15438
"FT8","F","Millipede",1.513,13.781,"HFT8",847,12144
"FT9","F","Millipede",3.569,17.63,"HFT9",1267,13333
"FT10","F","Millipede",0.99,15.933,"HFT10",174,12148
"FT11","F","Millipede",0.424,15.679,"HFT11",101,9902
"FT12","F","Millipede",1.672,14.99,"HFT12",767,8536
"FT13","F","Millipede",0.759,17.188,"HFT13",0,0
"FT14","F","Millipede",0.257,12.723,"HFT14",509,7833
"FT15","F","Millipede",0.495,5.247,"HFT15",634,8153
"RT1","R","Millipede",1.622,13.364,"HRT1",1139,15769
"RT2","R","Millipede",2.984,18.39,"HRT2",970,15630
"RT3","R","Millipede",0.459,17.242,"HRT3",136,14301
"RT4","R","Millipede",1.277,14.079,"HRT4",455,6662
"RT5","R","Millipede",2.952,17.5,"HRT5",1084,13931
"RT6","R","Millipede",0.228,14.653,"HRT6",173,16786
"RT7","R","Millipede",1.416,18.503,"HRT7",746,14534
"RT8","R","Millipede",1.913,16.23,"HRT8",1196,19174
"RT9","R","Millipede",0.708,9.801,"HRT9",84,14845
"RT10","R","Millipede",2.473,13.587,"HRT10",1153,14762
"RT11","R","Millipede",1.05,13.343,"HRT11",486,15301
"RT12","R","Millipede",0.399,13.78,"HRT12",539,15301
"RT13","R","Millipede",2.176,13.7,"HRT13",2235,15921
"RT14","R","Millipede",0.325,11.191,"HRT14",245,19388
"RT15","R","Millipede",0.924,11.521,"HRT15",135,14482
"FT1","F","Orthoptera2",2.37,16.943,"HFT1",3331,13671
"FT2","F","Orthoptera2",0.43,15.625,"HFT2",1290,11178
"FT3","F","Orthoptera2",0.683,17.986,"HFT3",2575,13396
"FT4","F","Orthoptera2",1.116,16.373,"HFT4",2266,14369
"FT5","F","Orthoptera2",3.141,24.124,"HFT5",3102,10349
"FT6","F","Orthoptera2",2.079,15.478,"HFT6",2986,13782
"FT7","F","Orthoptera2",2.476,14.958,"HFT7",4998,15438
"FT8","F","Orthoptera2",1.819,13.781,"HFT8",3067,12144
"FT9","F","Orthoptera2",1.299,17.63,"HFT9",2203,13333
"FT10","F","Orthoptera2",2.191,15.933,"HFT10",4832,12148
"FT11","F","Orthoptera2",2.491,15.679,"HFT11",4121,9902
"FT12","F","Orthoptera2",0.345,14.99,"HFT12",1047,8536
