"Pool","Freezer_RT","Specimen","amount_DNA","Total_mg_in_pool","Experiment","number_Reads","total_Reads"
"FT1","F","Philodromidae_Leg",0.58,16.943,"HFT1",30,13671
"FT2","F","Philodromidae_Leg",0.962,15.625,"HFT2",41,11178
"FT3","F","Philodromidae_Leg",0.243,17.986,"HFT3",36,13396
"FT5","F","Philodromidae_Leg",1.367,24.124,"HFT5",23,10349
"FT7","F","Philodromidae_Leg",1.452,14.958,"HFT7",266,15438
"RT1","R","Philodromidae_Leg",0.264,13.364,"HRT1",34,15769
"RT2","R","Philodromidae_Leg",0.395,18.39,"HRT2",147,15630
"RT3","R","Philodromidae_Leg",2.164,17.242,"HRT3",634,14301
"RT7","R","Philodromidae_Leg",0.939,18.503,"HRT7",391,14534
"RT8","R","Philodromidae_Leg",0.512,16.23,"HRT8",205,19174
"RT11","R","Philodromidae_Leg",0.749,13.343,"HRT11",392,15301
"FT4","F","Philodromidae_Pros",0.997,16.373,"HFT4",463,14369
"FT6","F","Philodromidae_Pros",1.308,15.478,"HFT6",573,13782
"FT8","F","Philodromidae_Pros",0.411,13.781,"HFT8",788,12144
"RT4","R","Philodromidae_Pros",0.379,14.079,"HRT4",169,6662
"RT13","R","Philodromidae_Pros",1.578,13.7,"HRT13",2735,15921
"FT3","F","Acari",0.394,17.986,"LFT3",0,0
"RT1","R","Acari",0.248,13.364,"LRT1",204,15671
"RT2","R","Acari",0.362,18.39,"LRT2",358,16828
"RT3","R","Acari",0.122,17.242,"LRT3",55,15707
"RT4","R","Acari",0.09,14.079,"LRT4",106,17917
"FT1","F","Blattodea",1.724,16.943,"LFT1",1050,14789
"FT2","F","Blattodea",1.205,15.625,"LFT2",0,0
"FT3","F","Blattodea",1.678,17.986,"LFT3",0,0
"FT4","F","Blattodea",2.603,16.373,"LFT4",1543,15497
"FT5","F","Blattodea",0.697,24.124,"LFT5",0,0
"FT6","F","Blattodea",1.004,15.478,"LFT6",1355,17154
"FT7","F","Blattodea",0.836,14.958,"LFT7",906,16000
"FT8","F","Blattodea",0.926,13.781,"LFT8",1595,15996
"FT9","F","Blattodea",1.31,17.63,"LFT9",2360,14335
"FT10","F","Blattodea",0.667,15.933,"LFT10",665,14095
"FT12","F","Blattodea",1.995,14.99,"LFT12",1339,8469
"FT13","F","Blattodea",2.384,17.188,"LFT13",1370,12643
"FT14","F","Blattodea",1.228,12.723,"LFT14",1357,7320
"FT15","F","Blattodea",0.356,5.247,"LFT15",1915,9289
"RT1","R","Blattodea",0.94,13.364,"LRT1",1425,15671
"RT2","R","Blattodea",2.435,18.39,"LRT2",1893,16828
"RT3","R","Blattodea",1.095,17.242,"LRT3",1024,15707
"RT4","R","Blattodea",1.763,14.079,"LRT4",1481,17917
"RT5","R","Blattodea",1.144,17.5,"LRT5",1306,15428
"RT6","R","Blattodea",2.139,14.653,"LRT6",1644,14860
"RT7","R","Blattodea",2.619,18.503,"LRT7",2062,13147
"RT8","R","Blattodea",1.639,16.23,"LRT8",1710,14626
"RT9","R","Blattodea",0.634,9.801,"LRT9",866,14438
"RT10","R","Blattodea",0.384,13.587,"LRT10",582,14410
"RT11","R","Blattodea",1.261,13.343,"LRT11",1573,14004
"RT12","R","Blattodea",0.778,13.78,"LRT12",1312,15606
"FT1","F","Carabidae",0.913,16.943,"LFT1",1201,14789
"FT2","F","Carabidae",1.594,15.625,"LFT2",0,0
"FT3","F","Carabidae",0.629,17.986,"LFT3",0,0
"FT4","F","Carabidae",1.144,16.373,"LFT4",1321,15497
"FT5","F","Carabidae",3.005,24.124,"LFT5",0,0
"FT6","F","Carabidae",2.14,15.478,"LFT6",1940,17154
"FT7","F","Carabidae",1.582,14.958,"LFT7",1693,16000
"FT8","F","Carabidae",0.712,13.781,"LFT8",870,15996
"FT10","F","Carabidae",1.236,15.933,"LFT10",1576,14095
"RT1","R","Carabidae",1.152,13.364,"LRT1",1124,15671
"RT2","R","Carabidae",0.648,18.39,"LRT2",497,16828
"RT3","R","Carabidae",0.56,17.242,"LRT3",432,15707
"RT4","R","Carabidae",1.136,14.079,"LRT4",1185,17917
"RT5","R","Carabidae",1.871,17.5,"LRT5",1939,15428
"RT6","R","Carabidae",0.45,14.653,"LRT6",184,14860
"RT7","R","Carabidae",0.257,18.503,"LRT7",209,13147
"RT8","R","Carabidae",2.836,16.23,"LRT8",2015,14626
"RT9","R","Carabidae",1.557,9.801,"LRT9",1929,14438
"RT10","R","Carabidae",0.251,13.587,"LRT10",416,14410
"RT11","R","Carabidae",1.677,13.343,"LRT11",2345,14004
"RT12","R","Carabidae",2.115,13.78,"LRT12",1979,15606
"RT13","R","Carabidae",1.856,13.7,"LRT13",2279,15682
"RT14","R","Carabidae",2.318,11.191,"LRT14",3681,19245
"RT15","R","Carabidae",3.126,11.521,"LRT15",3422,16325
"FT1","F","Diptera",0.089,16.943,"LFT1",0,14789
"FT2","F","Diptera",0.319,15.625,"LFT2",0,0
"FT3","F","Diptera",0.211,17.986,"LFT3",0,0
"FT4","F","Diptera",0.564,16.373,"LFT4",1864,15497
"FT6","F","Diptera",0.225,15.478,"LFT6",576,17154
"RT1","R","Diptera",0.08,13.364,"LRT1",201,15671
"RT2","R","Diptera",0.121,18.39,"LRT2",31,16828
"RT3","R","Diptera",0.177,17.242,"LRT3",877,15707
"RT4","R","Diptera",0.316,14.079,"LRT4",786,17917
"RT5","R","Diptera",0.158,17.5,"LRT5",606,15428
"RT6","R","Diptera",0.275,14.653,"LRT6",821,14860
"RT7","R","Diptera",0.23,18.503,"LRT7",383,13147
"FT1","F","Hemiptera",1.127,16.943,"LFT1",785,14789
"FT2","F","Hemiptera",2.584,15.625,"LFT2",0,0
"FT3","F","Hemiptera",0.761,17.986,"LFT3",0,0
"FT4","F","Hemiptera",0.405,16.373,"LFT4",240,15497
"FT5","F","Hemiptera",1.839,24.124,"LFT5",0,0
"FT6","F","Hemiptera",2.14,15.478,"LFT6",1900,17154
"FT7","F","Hemiptera",1.643,14.958,"LFT7",2151,16000
"FT10","F","Hemiptera",2.289,15.933,"LFT10",1443,14095
"FT11","F","Hemiptera",0.235,15.679,"LFT11",329,12051
"FT12","F","Hemiptera",2.531,14.99,"LFT12",1184,8469
"FT13","F","Hemiptera",0.11,17.188,"LFT13",104,12643
"FT14","F","Hemiptera",3.36,12.723,"LFT14",2206,7320
"RT1","R","Hemiptera",0.482,13.364,"LRT1",286,15671
"RT2","R","Hemiptera",2.031,18.39,"LRT2",1635,16828
"RT3","R","Hemiptera",2.315,17.242,"LRT3",1001,15707
"RT4","R","Hemiptera",0.319,14.079,"LRT4",256,17917
"RT5","R","Hemiptera",2.504,17.5,"LRT5",976,15428
"RT6","R","Hemiptera",1.552,14.653,"LRT6",1189,14860
"RT7","R","Hemiptera",2.124,18.503,"LRT7",1112,13147
"RT8","R","Hemiptera",1.2,16.23,"LRT8",858,14626
"RT9","R","Hemiptera",0.1,9.801,"LRT9",245,14438
"RT10","R","Hemiptera",0.13,13.587,"LRT10",222,14410
"RT11","R","Reduviidae",0.574,13.343,"LRT11",185,14004
"RT12","R","Reduviidae",2.055,13.78,"LRT12",798,15606
"RT13","R","Reduviidae",3.268,13.7,"LRT13",2035,15682
"RT14","R","Reduviidae",2.48,11.191,"LRT14",1906,19245
"RT15","R","Reduviidae",1.432,11.521,"LRT15",1114,16325
"FT1","F","Homptera",1.406,16.943,"LFT1",2427,14789
"FT2","F","Homptera",0.644,15.625,"LFT2",0,0
"FT3","F","Homptera",1.104,17.986,"LFT3",0,0
"FT4","F","Homptera",1.041,16.373,"LFT4",2541,15497
"FT5","F","Homptera",1.586,24.124,"LFT5",0,0
"FT6","F","Homptera",0.777,15.478,"LFT6",2887,17154
"FT7","F","Homptera",1.941,14.958,"LFT7",3693,16000
"FT8","F","Homptera",0.417,13.781,"LFT8",2781,15996
"FT9","F","Homptera",1.095,17.63,"LFT9",2896,14335
"FT10","F","Homptera",1.471,15.933,"LFT10",3651,14095
"FT11","F","Homptera",0.514,15.679,"LFT11",1585,12051
"FT13","F","Homptera",0.524,17.188,"LFT13",1727,12643
"RT1","R","Homptera",0.31,13.364,"LRT1",2367,15671
"RT2","R","Homptera",0.362,18.39,"LRT2",1572,16828
"RT3","R","Homptera",0.621,17.242,"LRT3",1886,15707
"RT6","R","Homptera",0.784,14.653,"LRT6",1460,14860
"RT7","R","Homptera",2.347,18.503,"LRT7",2779,13147
"RT8","R","Homptera",1.019,16.23,"LRT8",2675,14626
"RT9","R","Homptera",0.559,9.801,"LRT9",2905,14438
"RT10","R","Homptera",2.162,13.587,"LRT10",4306,14410
"RT11","R","Homptera",0.293,13.343,"LRT11",1471,14004
"RT12","R","Homptera",0.554,13.78,"LRT12",2392,15606
"RT13","R","Homptera",0.258,13.7,"LRT13",1996,15682
"RT14","R","Homptera",1.114,11.191,"LRT14",4916,19245
"RT15","R","Homptera",0.836,11.521,"LRT15",3490,16325
"FT9","F","Ant",0.048,17.63,"LFT9",161,14335
"RT8","R","Ant",0.106,16.23,"LRT8",202,14626
"RT9","R","Ant",0.073,9.801,"LRT9",152,14438
"RT11","R","Ant",0.05,13.343,"LRT11",79,14004
"RT13","R","Ant",0.207,13.7,"LRT13",553,15682
"FT1","F","Ichneumonid",1.729,16.943,"LFT1",402,14789
"FT2","F","Ichneumonid",0.373,15.625,"LFT2",0,0
"FT3","F","Ichneumonid",0.713,17.986,"LFT3",0,0
"FT4","F","Ichneumonid",3.025,16.373,"LFT4",681,15497
"FT5","F","Ichneumonid",0.851,24.124,"LFT5",0,0
"FT6","F","Ichneumonid",1.731,15.478,"LFT6",640,17154
"FT7","F","Ichneumonid",0.593,14.958,"LFT7",140,16000
"FT8","F","Ichneumonid",0.81,13.781,"LFT8",159,15996
"FT10","F","Ichneumonid",0.134,15.933,"LFT10",0,14095
"FT11","F","Ichneumonid",0.194,15.679,"LFT11",0,12051
"FT12","F","Ichneumonid",0.152,14.99,"LFT12",15,8469
"FT13","F","Ichneumonid",0.263,17.188,"LFT13",17,12643
"RT1","R","Ichneumonid",0.84,13.364,"LRT1",199,15671
"RT2","R","Ichneumonid",0.69,18.39,"LRT2",250,16828
"RT3","R","Ichneumonid",0.768,17.242,"LRT3",119,15707
"RT4","R","Ichneumonid",0.594,14.079,"LRT4",89,17917
"RT5","R","Ichneumonid",2.323,17.5,"LRT5",909,15428
"RT6","R","Ichneumonid",0.403,14.653,"LRT6",21,14860
"RT7","R","Ichneumonid",0.378,18.503,"LRT7",31,13147
"RT10","R","Ichneumonid",0.138,13.587,"LRT10",19,14410
"RT12","R","Ichneumonid",0.151,13.78,"LRT12",23,15606
"RT14","R","Ichneumonid",0.161,11.191,"LRT14",0,19245
"RT15","R","Ichneumonid",0.216,11.521,"LRT15",23,16325
"FT1","F","Isopoda",0.215,16.943,"LFT1",0,14789
"FT2","F","Isopoda",0.28,15.625,"LFT2",0,0
"FT3","F","Isopoda",2.639,17.986,"LFT3",0,0
"FT4","F","Isopoda",0.395,16.373,"LFT4",0,15497
"FT5","F","Isopoda",3.017,24.124,"LFT5",0,0
"FT6","F","Isopoda",2.268,15.478,"LFT6",196,17154
"FT7","F","Isopoda",1.798,14.958,"LFT7",107,16000
"FT8","F","Isopoda",2.174,13.781,"LFT8",274,15996
"FT9","F","Isopoda",2.301,17.63,"LFT9",333,14335
"FT10","F","Isopoda",1.393,15.933,"LFT10",101,14095
"FT11","F","Isopoda",2.155,15.679,"LFT11",144,12051
"FT12","F","Isopoda",0.551,14.99,"LFT12",88,8469
"FT13","F","Isopoda",2.198,17.188,"LFT13",252,12643
"FT14","F","Isopoda",0.915,12.723,"LFT14",50,7320
"FT15","F","Isopoda",1.017,5.247,"LFT15",503,9289
"RT1","R","Isopoda",1.962,13.364,"LRT1",224,15671
"RT2","R","Isopoda",0.398,18.39,"LRT2",0,16828
"RT3","R","Isopoda",0.84,17.242,"LRT3",98,15707
"RT4","R","Isopoda",0.281,14.079,"LRT4",0,17917
"RT5","R","Isopoda",2.871,17.5,"LRT5",247,15428
"RT6","R","Isopoda",1.027,14.653,"LRT6",78,14860
"RT7","R","Isopoda",1.81,18.503,"LRT7",137,13147
"RT8","R","Isopoda",2.873,16.23,"LRT8",127,14626
"RT9","R","Isopoda",2.195,9.801,"LRT9",453,14438
"RT10","R","Isopoda",2.419,13.587,"LRT10",425,14410
"RT11","R","Isopoda",2.81,13.343,"LRT11",329,14004
"RT12","R","Isopoda",1.256,13.78,"LRT12",232,15606
"RT13","R","Isopoda",2.603,13.7,"LRT13",415,15682
"RT14","R","Isopoda",1.452,11.191,"LRT14",291,19245
"RT15","R","Isopoda",1.899,11.521,"LRT15",658,16325
"FT1","F","Lepidoptera",1.77,16.943,"LFT1",2140,14789
"FT2","F","Lepidoptera",1.712,15.625,"LFT2",0,0
"FT3","F","Lepidoptera",1.447,17.986,"LFT3",0,0
"FT4","F","Lepidoptera",0.762,16.373,"LFT4",1913,15497
"FT5","F","Lepidoptera",3.287,24.124,"LFT5",0,0
"FT6","F","Lepidoptera",0.649,15.478,"LFT6",2441,17154
"FT7","F","Lepidoptera",0.291,14.958,"LFT7",1283,16000
"FT8","F","Lepidoptera",1.492,13.781,"LFT8",2259,15996
"FT9","F","Lepidoptera",3.006,17.63,"LFT9",3140,14335
"FT11","F","Lepidoptera",3.773,15.679,"LFT11",3788,12051
"FT12","F","Lepidoptera",2.114,14.99,"LFT12",1442,8469
"FT13","F","Lepidoptera",1.166,17.188,"LFT13",2780,12643
"FT15","F","Lepidoptera",0.303,5.247,"LFT15",1384,9289
"RT1","R","Lepidoptera",1.037,13.364,"LRT1",2528,15671
"RT2","R","Lepidoptera",2.016,18.39,"LRT2",1792,16828
"RT3","R","Lepidoptera",2.184,17.242,"LRT3",2932,15707
"RT4","R","Lepidoptera",0.846,14.079,"LRT4",1478,17917
"RT5","R","Lepidoptera",0.728,17.5,"LRT5",1749,15428
"RT6","R","Lepidoptera",0.189,14.653,"LRT6",675,14860
"RT7","R","Lepidoptera",1.777,18.503,"LRT7",1858,13147
"RT8","R","Lepidoptera",0.49,16.23,"LRT8",1686,14626
"RT9","R","Lepidoptera",0.638,9.801,"LRT9",1823,14438
"RT10","R","Lepidoptera",1.61,13.587,"LRT10",2126,14410
"RT11","R","Lepidoptera",1.175,13.343,"LRT11",1857,14004
"RT12","R","Lepidoptera",1.226,13.78,"LRT12",1893,15606
"RT14","R","Lepidoptera",1.42,11.191,"LRT14",3795,19245
"RT15","R","Lepidoptera",0.315,11.521,"LRT15",1367,16325
"FT1","F","Millipede",1.971,16.943,"LFT1",707,14789
"FT2","F","Millipede",2.576,15.625,"LFT2",0,0
"FT3","F","Millipede",3.121,17.986,"LFT3",0,0
"FT4","F","Millipede",2.522,16.373,"LFT4",737,15497
"FT5","F","Millipede",1.309,24.124,"LFT5",0,0
"FT6","F","Millipede",0.29,15.478,"LFT6",54,17154
"FT7","F","Millipede",0.687,14.958,"LFT7",166,16000
"FT8","F","Millipede",1.513,13.781,"LFT8",991,15996
"FT9","F","Millipede",3.569,17.63,"LFT9",1122,14335
"FT10","F","Millipede",0.99,15.933,"LFT10",187,14095
"FT11","F","Millipede",0.424,15.679,"LFT11",157,12051
"FT12","F","Millipede",1.672,14.99,"LFT12",745,8469
"FT13","F","Millipede",0.759,17.188,"LFT13",239,12643
"FT14","F","Millipede",0.257,12.723,"LFT14",467,7320
"FT15","F","Millipede",0.495,5.247,"LFT15",758,9289
"RT1","R","Millipede",1.622,13.364,"LRT1",1033,15671
"RT2","R","Millipede",2.984,18.39,"LRT2",811,16828
"RT3","R","Millipede",0.459,17.242,"LRT3",121,15707
"RT4","R","Millipede",1.277,14.079,"LRT4",1033,17917
"RT5","R","Millipede",2.952,17.5,"LRT5",1130,15428
"RT6","R","Millipede",0.228,14.653,"LRT6",179,14860
"RT7","R","Millipede",1.416,18.503,"LRT7",486,13147
"RT8","R","Millipede",1.913,16.23,"LRT8",831,14626
"RT9","R","Millipede",0.708,9.801,"LRT9",170,14438
"RT10","R","Millipede",2.473,13.587,"LRT10",937,14410
"RT11","R","Millipede",1.05,13.343,"LRT11",573,14004
"RT12","R","Millipede",0.399,13.78,"LRT12",449,15606
"RT13","R","Millipede",2.176,13.7,"LRT13",2176,15682
"RT14","R","Millipede",0.325,11.191,"LRT14",242,19245
"RT15","R","Millipede",0.924,11.521,"LRT15",381,16325
"FT1","F","Orthoptera2",2.37,16.943,"LFT1",3325,14789
"FT2","F","Orthoptera2",0.43,15.625,"LFT2",0,0
"FT3","F","Orthoptera2",0.683,17.986,"LFT3",0,0
"FT4","F","Orthoptera2",1.116,16.373,"LFT4",2193,15497
"FT5","F","Orthoptera2",3.141,24.124,"LFT5",0,0
"FT6","F","Orthoptera2",2.079,15.478,"LFT6",3503,17154
"FT7","F","Orthoptera2",2.476,14.958,"LFT7",4410,16000
"FT8","F","Orthoptera2",1.819,13.781,"LFT8",3584,15996
"FT9","F","Orthoptera2",1.299,17.63,"LFT9",1687,14335
"FT10","F","Orthoptera2",2.191,15.933,"LFT10",5231,14095
"FT11","F","Orthoptera2",2.491,15.679,"LFT11",4881,12051
"FT12","F","Orthoptera2",0.345,14.99,"LFT12",1028,8469
"FT13","F","Orthoptera2",2.386,17.188,"LFT13",3787,12643
"RT1","R","Orthoptera2",1.348,13.364,"LRT1",2978,15671
"RT2","R","Orthoptera2",0.862,18.39,"LRT2",2145,16828
"RT3","R","Orthoptera2",0.538,17.242,"LRT3",1621,15707
"RT4","R","Orthoptera2",2.359,14.079,"LRT4",4181,17917
"RT5","R","Orthoptera2",1.024,17.5,"LRT5",2990,15428
"RT6","R","Orthoptera2",2.734,14.653,"LRT6",4156,14860
"RT7","R","Orthoptera2",0.224,18.503,"LRT7",563,13147
"RT8","R","Orthoptera2",0.603,16.23,"LRT8",1828,14626
"RT9","R","Orthoptera2",0.961,9.801,"LRT9",2853,14438
"RT10","R","Orthoptera2",0.875,13.587,"LRT10",2882,14410
"RT11","R","Orthoptera2",2.092,13.343,"LRT11",4038,14004
"RT12","R","Orthoptera2",2.604,13.78,"LRT12",5980,15606
"RT13","R","Orthoptera2",1.043,13.7,"LRT13",3089,15682
"RT14","R","Orthoptera2",1.331,11.191,"LRT14",4140,19245
"RT15","R","Orthoptera2",1.612,11.521,"LRT15",4727,16325
